Date,Open,High,Low,Close,Adj Close,Volume
2020-01-16,131.589996,132.500000,130.970001,131.520004,111.202568,7026
2020-01-17,131.289993,131.979996,130.619995,130.929993,110.703720,4732
2020-01-20,132.000000,133.380005,131.500000,131.500000,111.185661,26365
2020-01-21,132.960007,132.970001,129.899994,130.000000,109.917381,20855
2020-01-22,131.500000,132.380005,130.949997,131.979996,111.591499,15074
2020-01-23,131.729996,132.000000,131.020004,131.500000,111.185661,6931
2020-01-24,131.990005,133.000000,130.500000,130.500000,110.340134,14578
2020-01-27,130.529999,132.009995,129.949997,130.000000,109.917381,12650
2020-01-28,130.009995,132.000000,130.000000,130.000000,109.917381,12995
2020-01-29,130.020004,131.000000,129.660004,130.000000,109.917381,9043
2020-01-30,130.479996,130.479996,129.460007,130.000000,109.917381,7240
2020-01-31,129.960007,129.960007,127.559998,129.300003,109.325516,8471
2020-02-03,129.500000,129.990005,129.100006,129.500000,109.494621,11962
2020-02-04,130.000000,130.250000,128.899994,129.470001,109.469246,10426
2020-02-05,129.960007,129.979996,128.949997,129.149994,109.198677,6357
2020-02-06,129.149994,130.000000,128.899994,129.979996,109.900475,4945
2020-02-07,129.970001,130.000000,129.000000,129.919998,109.849762,13498
2020-02-10,129.520004,129.520004,125.599998,126.900002,107.296280,10343
2020-02-11,127.250000,129.990005,127.000000,128.199997,108.395454,11203
2020-02-12,129.369995,129.380005,127.900002,128.300003,108.480003,6659
2020-02-13,128.979996,128.979996,126.989998,126.989998,107.372368,8945
2020-02-14,124.000000,124.500000,122.320000,124.239998,105.047195,9695
2020-02-17,124.980003,124.989998,122.900002,124.000000,104.844292,8480
2020-02-18,124.190002,124.190002,122.000000,122.650002,103.702820,10057
2020-02-19,122.680000,122.800003,120.800003,120.980003,102.290802,11569
2020-02-20,120.480003,121.730003,120.059998,121.440002,102.679749,5643
2020-02-21,121.410004,121.730003,120.519997,121.000000,102.307724,14111
2020-02-26,121.000000,121.000000,119.949997,120.500000,101.884964,8177
2020-02-27,121.470001,121.500000,120.000000,120.110001,101.555214,18893
2020-02-28,120.500000,121.400002,119.470001,119.989998,101.453751,15671
2020-03-02,120.320000,121.400002,120.000000,120.019997,101.479111,23385
2020-03-03,120.050003,120.989998,120.050003,120.300003,101.715843,20231
2020-03-04,120.309998,120.989998,120.309998,120.839996,102.172440,11385
2020-03-05,120.980003,121.389999,120.980003,121.000000,102.307724,10041
2020-03-06,121.410004,121.459999,120.669998,121.370003,102.620567,8716
2020-03-09,120.290001,120.400002,115.500000,118.010002,99.779617,13940
2020-03-10,119.379997,121.699997,119.330002,121.010002,102.316177,10129
2020-03-11,121.000000,121.500000,119.000000,119.080002,100.684334,13178
2020-03-12,119.839996,119.839996,114.970001,115.379997,97.555908,18461
2020-03-13,117.389999,119.989998,116.000000,117.849998,99.644333,8351
2020-03-16,115.000000,117.849998,113.519997,117.000000,98.925644,8980
2020-03-17,117.010002,117.510002,114.989998,116.949997,98.883377,5796
2020-03-18,116.519997,116.519997,100.010002,104.599998,88.441208,12563
2020-03-19,104.599998,104.599998,85.000000,97.150002,82.142113,8472
2020-03-20,104.000000,109.889999,97.209999,97.269997,82.243576,9824
2020-03-23,97.300003,99.500000,90.970001,92.059998,77.838417,4896
2020-03-24,99.989998,100.000000,91.099998,93.010002,78.641655,5508
2020-03-25,92.150002,97.239998,91.989998,94.190002,79.639381,14155
2020-03-26,93.699997,106.000000,93.000000,101.500000,85.820114,7210
2020-03-27,101.000000,101.500000,97.019997,100.010002,84.560287,5430
2020-03-30,101.000000,102.480003,98.980003,100.900002,85.312805,5245
2020-03-31,101.800003,103.000000,101.040001,101.750000,86.031502,2288
2020-04-01,101.750000,103.000000,99.099998,102.900002,87.003838,4393
2020-04-02,102.900002,105.000000,102.900002,104.970001,88.754051,4048
2020-04-03,105.900002,105.989998,103.849998,105.260002,88.999268,4027
2020-04-06,105.500000,109.800003,105.480003,109.000000,92.161484,4248
2020-04-07,109.000000,113.000000,108.019997,112.989998,95.535126,5972
2020-04-08,111.459999,111.500000,109.800003,111.019997,93.869438,5473
2020-04-09,111.260002,115.000000,111.250000,114.980003,97.217712,6168
2020-04-13,115.050003,115.989998,114.800003,114.989998,97.226158,8017
2020-04-14,114.010002,116.000000,113.910004,113.949997,96.346802,17133
2020-04-15,112.989998,113.900002,112.000000,113.660004,96.101616,17185
2020-04-16,114.019997,114.860001,113.820000,114.099998,96.473625,11738
2020-04-17,114.290001,114.930000,113.889999,114.720001,96.997871,9852
2020-04-20,113.879997,113.879997,112.000000,112.900002,95.459023,12617
2020-04-22,113.239998,113.690002,112.900002,113.199997,95.712677,7557
2020-04-23,113.480003,113.980003,113.010002,113.050003,95.585854,6604
2020-04-24,113.500000,113.500000,107.099998,110.699997,93.598869,13801
2020-04-27,112.910004,113.800003,111.800003,112.720001,95.306831,6935
2020-04-28,113.790001,114.599998,113.699997,114.589996,96.887947,5377
2020-04-29,114.500000,115.800003,113.010002,114.300003,96.642754,7805
2020-04-30,115.000000,116.500000,114.699997,115.519997,97.674255,7042
2020-05-04,115.699997,115.970001,115.089996,115.470001,97.632004,11055
2020-05-05,115.889999,117.279999,115.889999,116.610001,98.595901,9382
2020-05-06,116.599998,117.500000,116.309998,117.500000,99.348404,7719
2020-05-07,117.790001,118.699997,117.199997,118.360001,100.075539,12142
2020-05-08,118.360001,119.489998,117.800003,118.309998,100.033264,10971
2020-05-11,116.410004,116.410004,115.500000,115.610001,97.750381,8293
2020-05-12,116.010002,116.699997,115.510002,115.550003,97.699654,6035
2020-05-13,116.000000,116.000000,114.010002,114.500000,96.811844,9455
2020-05-14,115.449997,115.449997,112.400002,113.769997,96.194618,2842
2020-05-15,113.849998,114.980003,113.160004,114.709999,96.989418,3562
2020-05-18,115.000000,115.160004,114.000000,114.519997,96.828751,4337
2020-05-19,115.290001,115.290001,114.699997,114.739998,97.014763,3943
2020-05-20,114.750000,115.230003,114.699997,114.889999,97.141602,3144
2020-05-21,114.889999,115.389999,113.709999,114.800003,97.065498,9837
2020-05-22,115.000000,115.449997,113.860001,115.320000,97.505173,2800
2020-05-25,115.320000,116.459999,114.800003,115.010002,97.243065,9106
2020-05-26,115.059998,116.150002,115.000000,115.199997,97.403717,5788
2020-05-27,115.220001,115.959999,115.050003,115.160004,97.369896,5465
2020-05-28,115.150002,115.699997,115.099998,115.320000,97.505173,5490
2020-05-29,115.699997,116.489998,115.300003,116.489998,98.494431,7497
2020-06-01,116.480003,118.000000,116.419998,117.809998,99.610512,11086
2020-06-02,117.989998,118.599998,117.800003,118.599998,100.278481,12927
2020-06-03,118.620003,119.790001,118.599998,119.019997,100.633591,15725
2020-06-04,119.150002,119.690002,119.010002,119.320000,100.887245,8583
2020-06-05,119.320000,120.970001,119.320000,120.000000,101.462189,14279
2020-06-08,119.989998,120.300003,119.500000,119.989998,101.453751,30798
2020-06-09,120.199997,120.300003,119.010002,119.580002,101.107086,11387
2020-06-10,120.070000,120.199997,119.800003,119.989998,101.453751,9140
2020-06-12,119.110001,119.599998,118.900002,119.050003,100.658958,13697
2020-06-15,119.709999,120.199997,118.949997,119.500000,101.039452,25178
2020-06-16,119.720001,121.400002,119.000000,119.000000,100.616692,21842
2020-06-17,119.370003,120.500000,118.959999,118.959999,100.582855,21164
2020-06-18,119.489998,120.889999,119.230003,120.459999,101.851143,15737
2020-06-19,120.980003,124.980003,120.980003,124.330002,105.123291,27788
2020-06-22,125.019997,128.899994,125.019997,128.750000,108.860489,21600
2020-06-23,129.000000,134.889999,129.000000,131.000000,110.762909,21508
2020-06-24,131.899994,131.899994,129.500000,130.000000,109.917381,12399
2020-06-25,130.000000,131.880005,129.479996,129.949997,109.875114,10807
2020-06-26,129.990005,130.000000,129.000000,129.369995,109.384705,12257
2020-06-29,129.289993,129.889999,129.020004,129.199997,109.240959,13749
2020-06-30,129.199997,131.880005,129.029999,130.789993,110.585320,14279
2020-07-01,131.889999,134.190002,129.000000,129.899994,109.832840,21978
2020-07-02,129.600006,130.740005,128.000000,128.000000,108.226349,34216
2020-07-03,127.989998,129.440002,127.519997,129.000000,109.071854,16802
2020-07-06,122.400002,124.500000,119.510002,123.099998,104.083305,58780
2020-07-07,123.779999,123.959999,123.000000,123.000000,103.998749,19811
2020-07-08,121.480003,122.000000,119.949997,120.500000,101.884964,23525
2020-07-09,120.559998,121.650002,120.000000,120.300003,101.715843,16884
2020-07-10,120.290001,120.760002,119.940002,120.000000,101.462189,17677
2020-07-13,120.150002,120.800003,119.949997,120.150002,101.589027,15825
2020-07-14,120.190002,120.300003,119.620003,120.099998,101.546745,11987
2020-07-15,120.099998,120.690002,120.000000,120.169998,101.605927,19042
2020-07-16,120.500000,120.599998,120.000000,120.040001,101.496017,13606
2020-07-17,120.209999,120.459999,120.010002,120.010002,101.470665,20438
